"","City","Date","Count"
"1","AMAZONAS",2020-11-01,67
"2","AMAZONAS",2020-05-01,62
"3","AMAZONAS",2020-06-01,26
"4","AMAZONAS",2020-07-01,5
"5","AMAZONAS",2020-08-01,3
"6","AMAZONAS",2020-09-01,1
"7","AMAZONAS",2020-10-10,5
"8","AMAZONAS",2020-11-10,26
"9","AMAZONAS",2020-04-10,1
"10","AMAZONAS",2020-05-10,148
"11","AMAZONAS",2020-06-10,25
"12","AMAZONAS",2020-07-10,2
"13","AMAZONAS",2020-08-10,2
"14","AMAZONAS",2020-09-10,1
"15","AMAZONAS",2020-10-11,1
"16","AMAZONAS",2020-11-11,4
"17","AMAZONAS",2020-04-11,6
"18","AMAZONAS",2020-05-11,15
"19","AMAZONAS",2020-06-11,6
"20","AMAZONAS",2020-07-11,1
"21","AMAZONAS",2020-08-11,3
"22","AMAZONAS",2020-10-12,4
"23","AMAZONAS",2020-11-12,1
"24","AMAZONAS",2020-04-12,2
"25","AMAZONAS",2020-05-12,43
"26","AMAZONAS",2020-06-12,26
"27","AMAZONAS",2020-07-12,11
"28","AMAZONAS",2020-08-12,5
"29","AMAZONAS",2020-09-12,1
"30","AMAZONAS",2020-10-13,3
"31","AMAZONAS",2020-11-13,3
"32","AMAZONAS",2020-04-13,7
"33","AMAZONAS",2020-05-13,91
"34","AMAZONAS",2020-06-13,9
"35","AMAZONAS",2020-07-13,4
"36","AMAZONAS",2020-08-13,4
"37","AMAZONAS",2020-10-14,12
"38","AMAZONAS",2020-11-14,1
"39","AMAZONAS",2020-04-14,4
"40","AMAZONAS",2020-05-14,41
"41","AMAZONAS",2020-06-14,2
"42","AMAZONAS",2020-07-14,4
"43","AMAZONAS",2020-08-14,2
"44","AMAZONAS",2020-09-14,2
"45","AMAZONAS",2020-10-15,8
"46","AMAZONAS",2020-04-15,9
"47","AMAZONAS",2020-05-15,81
"48","AMAZONAS",2020-06-15,13
"49","AMAZONAS",2020-07-15,2
"50","AMAZONAS",2020-08-15,2
"51","AMAZONAS",2020-10-16,1
"52","AMAZONAS",2020-04-16,3
"53","AMAZONAS",2020-05-16,27
"54","AMAZONAS",2020-06-16,3
"55","AMAZONAS",2020-07-16,13
"56","AMAZONAS",2020-08-16,2
"57","AMAZONAS",2020-10-17,1
"58","AMAZONAS",2020-04-17,8
"59","AMAZONAS",2020-05-17,13
"60","AMAZONAS",2020-06-17,7
"61","AMAZONAS",2020-07-17,5
"62","AMAZONAS",2020-10-18,8
"63","AMAZONAS",2020-11-18,4
"64","AMAZONAS",2020-04-18,10
"65","AMAZONAS",2020-05-18,23
"66","AMAZONAS",2020-06-18,7
"67","AMAZONAS",2020-07-18,7
"68","AMAZONAS",2020-08-18,5
"69","AMAZONAS",2020-09-18,3
"70","AMAZONAS",2020-10-19,7
"71","AMAZONAS",2020-11-19,1
"72","AMAZONAS",2020-04-19,8
"73","AMAZONAS",2020-05-19,18
"74","AMAZONAS",2020-06-19,2
"75","AMAZONAS",2020-07-19,7
"76","AMAZONAS",2020-09-19,2
"77","AMAZONAS",2020-10-02,11
"78","AMAZONAS",2020-11-02,9
"79","AMAZONAS",2020-05-02,50
